
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
180,Josh Hill,NOR,25,te,16,7,,,,,,1,0,0,0,0.0,120
181,Akeem Hunt,HOU,22,rb,7,1,,,,,,1,19,0,19,19.0,154
182,Danielle Hunter,MIN,21,de,14,1,,,,,,1,10,0,10,10.0,10
183,Janoris Jenkins,STL,27,CB,15,15,1,5,0,5,5.0,,,,,,5
184,Tony Jerod-Eddie,SFO,25,dt,16,1,,,,,,1,11,0,11,11.0,11
185,Datone Jones,GNB,25,,15,0,,,,,,1,9,0,9,9.0,9
186,Kyle Juszczyk,BAL,24,FB,16,11,,,,,,1,7,0,7,7.0,331
187,Shiloh Keo,DEN,28,,4,0,1,6,0,6,6.0,,,,,,6
188,Terrance Magee,BAL,,,3,0,,,,,,1,28,0,0,28.0,35
189,Craig Mager,SDG,23,cb,10,2,1,2,0,2,2.0,,,,,,2
190,Dean Marlowe,CAR,,,4,0,1,0,0,0,0.0,,,,,,0
191,Bradley Marquez,STL,,wr,16,1,,,,,,1,0,0,0,0.0,88
192,Rishard Matthews,MIA,26,WR,11,11,1,9,0,9,9.0,,,,,,675
193,Darren McFadden,DAL,28,RB,16,10,,,,,,1,23,0,23,23.0,1440
194,T.Y. McGill,IND,23,,12,0,,,,,,1,15,0,15,15.0,15
195,Jerick McKinnon,MIN,23,,16,0,,,,,,1,24,0,24,24.0,468
196,Bruce Miller,SFO,28,fb,16,5,,,,,,1,3,0,3,3.0,152
197,Donte Moncrief,IND,22,WR,16,10,,,,,,1,5,0,5,5.0,738
198,Bilal Powell,NYJ,27,rb,11,2,,,,,,1,20,0,20,20.0,721
199,MyCole Pruitt,MIN,23,te,16,3,,,,,,1,12,0,12,12.0,101
200,Trevor Reilly,NYJ,27,,15,0,,,,,,1,0,0,0,0.0,0
201,Aaron Ripkowski,GNB,23,,15,0,,,,,,1,0,0,0,0.0,18
202,Jacquizz Rodgers,CHI,25,,5,0,,,,,,1,15,0,15,15.0,66
203,Eddie Royal,CHI,29,wr,9,9,1,16,0,16,16.0,,,,,,253
204,Mohamed Sanu,CIN,26,wr,16,4,,,,,,1,2,0,2,2.0,467
205,Kelvin Sheppard,MIA,27,LB,16,14,,,,,,1,0,0,0,0.0,0
206,Richard Sherman*,SEA,27,CB,16,16,1,64,0,64,64.0,,,,,,64
207,Devin Smith,NYJ,23,wr,10,3,,,,,,1,21,0,21,21.0,136
208,Lee Smith,OAK,28,TE,15,15,,,,,,1,8,0,8,8.0,78
209,Rod Smith,2TM,,,11,0,,,,,,1,26,0,26,26.0,37
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
210,Za'Darius Smith,BAL,23,,15,0,,,,,,1,15,0,15,15.0,15
211,Devin Street,DAL,24,wr,14,2,,,,,,1,22,0,22,22.0,136
212,Pierre Thomas,2TM,31,,5,0,,,,,,1,15,0,15,15.0,163
213,Kenbrell Thompkins,NYJ,27,wr,7,2,,,,,,1,17,0,17,17.0,182
214,Juwan Thompson,DEN,23,rb,15,1,,,,,,1,0,0,0,0.0,99
215,Zurlon Tipton,IND,25,,10,0,,,,,,1,23,0,23,23.0,100
216,Jordan Todman,PIT,25,,11,0,,,,,,1,22,0,22,22.0,44
217,Mike Tolbert*+,CAR,30,fb,16,3,,,,,,1,8,0,8,8.0,418
218,J.C. Tretter,GNB,24,c,16,3,,,,,,1,0,0,0,0.0,-14
219,Will Tukuafu,SEA,31,fb,14,1,,,,,,1,16,0,16,16.0,24
220,Cassius Vaughn,2TM,28,,2,0,,,,,,1,17,0,17,17.0,17
221,Zach Vigil,MIA,24,lb,16,2,,,,,,1,6,0,6,6.0,6
222,Terron Ward,ATL,23,,13,0,,,,,,1,10,0,10,10.0,178
223,Spencer Ware,KAN,24,rb,11,2,,,,,,1,14,0,14,14.0,422
224,Corey White,2TM,25,,10,1,1,0,0,0,0.0,,,,,,0
225,Maxx Williams,BAL,21,te,14,7,,,,,,1,6,0,6,6.0,274
226,Terrance Williams,DAL,26,WR,16,13,,,,,,1,9,0,9,9.0,849
227,Tramon Williams,CLE,32,DB,15,15,1,1,0,1,1.0,,,,,,1
